emoji,name,clean_post_text,emotional_scores
😜,winking face with tongue,wink face tongue,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🤪,zany face,zany face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
😝,squinting face with tongue,squint face tongue,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🤗,hugging face,hug face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.017857142857142856, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.03225806451612903}"
🤭,face with hand over mouth,face hand mouth,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
🤫,shushing face,shush face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🤔,thinking face,think face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
🤐,zipper-mouth face,zipper mouth face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
🤨,face with raised eyebrow,face raise eyebrow,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😐,neutral face,neutral face,"{""Anger"": 0.0, ""Anticipation"": 0.05, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.03225806451612903}"
😑,expressionless face,expressionless face,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.0, ""Trust"": 0.0}"
😶,face without mouth,face without mouth,"{""Anger"": 0.0, ""Anticipation"": 0.0, ""Disgust"": 0.0, ""Fear"": 0.0, ""Joy"": 0.0, ""Sadness"": 0.0, ""Surprise"": 0.023809523809523808, ""Trust"": 0.0}"
